cell_id,persona_id,scene,variant_id,genre,bpm,volume,instrument,tonality,duration_sec,lyrics_language
P-LILY__sleep_support__V1,P-LILY,sleep_support,V1,instrumental,54,low,piano,major,180,none
P-LILY__sleep_support__V2,P-LILY,sleep_support,V2,instrumental,82,medium,percussion,major,180,none
P-LILY__sleep_support__V3,P-LILY,sleep_support,V3,nature,64,low,mixed,atonal,180,none
P-LILY__anxiety_support__V1,P-LILY,anxiety_support,V1,instrumental,54,low,piano,major,180,none
P-LILY__anxiety_support__V2,P-LILY,anxiety_support,V2,instrumental,82,medium,percussion,major,180,none
P-LILY__anxiety_support__V3,P-LILY,anxiety_support,V3,nature,64,low,mixed,atonal,180,none
P-LILY__focus_support__V1,P-LILY,focus_support,V1,instrumental,54,low,piano,major,180,none
P-LILY__focus_support__V2,P-LILY,focus_support,V2,instrumental,82,medium,percussion,major,180,none
P-LILY__focus_support__V3,P-LILY,focus_support,V3,nature,64,low,mixed,atonal,180,none
P-LILY__engagement_support__V1,P-LILY,engagement_support,V1,instrumental,54,low,piano,major,180,none
P-LILY__engagement_support__V2,P-LILY,engagement_support,V2,instrumental,82,medium,percussion,major,180,none
P-LILY__engagement_support__V3,P-LILY,engagement_support,V3,nature,64,low,mixed,atonal,180,none
P-LILY__regulation_support__V1,P-LILY,regulation_support,V1,instrumental,54,low,piano,major,180,none
P-LILY__regulation_support__V2,P-LILY,regulation_support,V2,instrumental,82,medium,percussion,major,180,none
P-LILY__regulation_support__V3,P-LILY,regulation_support,V3,nature,64,low,mixed,atonal,180,none
P-MAX__sleep_support__V1,P-MAX,sleep_support,V1,instrumental,54,low,piano,major,180,none
P-MAX__sleep_support__V2,P-MAX,sleep_support,V2,instrumental,82,medium,percussion,major,180,none
P-MAX__sleep_support__V3,P-MAX,sleep_support,V3,nature,64,low,mixed,atonal,180,none
P-MAX__anxiety_support__V1,P-MAX,anxiety_support,V1,instrumental,54,low,piano,major,180,none
P-MAX__anxiety_support__V2,P-MAX,anxiety_support,V2,instrumental,82,medium,percussion,major,180,none
P-MAX__anxiety_support__V3,P-MAX,anxiety_support,V3,nature,64,low,mixed,atonal,180,none
P-MAX__focus_support__V1,P-MAX,focus_support,V1,instrumental,54,low,piano,major,180,none
P-MAX__focus_support__V2,P-MAX,focus_support,V2,instrumental,82,medium,percussion,major,180,none
P-MAX__focus_support__V3,P-MAX,focus_support,V3,nature,64,low,mixed,atonal,180,none
P-MAX__engagement_support__V1,P-MAX,engagement_support,V1,instrumental,54,low,piano,major,180,none
P-MAX__engagement_support__V2,P-MAX,engagement_support,V2,instrumental,82,medium,percussion,major,180,none
P-MAX__engagement_support__V3,P-MAX,engagement_support,V3,nature,64,low,mixed,atonal,180,none
P-MAX__regulation_support__V1,P-MAX,regulation_support,V1,instrumental,54,low,piano,major,180,none
P-MAX__regulation_support__V2,P-MAX,regulation_support,V2,instrumental,82,medium,percussion,major,180,none
P-MAX__regulation_support__V3,P-MAX,regulation_support,V3,nature,64,low,mixed,atonal,180,none
P-EMMA__sleep_support__V1,P-EMMA,sleep_support,V1,instrumental,54,low,piano,major,180,none
P-EMMA__sleep_support__V2,P-EMMA,sleep_support,V2,instrumental,82,medium,percussion,major,180,none
P-EMMA__sleep_support__V3,P-EMMA,sleep_support,V3,nature,64,low,mixed,atonal,180,none
P-EMMA__anxiety_support__V1,P-EMMA,anxiety_support,V1,instrumental,54,low,piano,major,180,none
P-EMMA__anxiety_support__V2,P-EMMA,anxiety_support,V2,instrumental,82,medium,percussion,major,180,none
P-EMMA__anxiety_support__V3,P-EMMA,anxiety_support,V3,nature,64,low,mixed,atonal,180,none
P-EMMA__focus_support__V1,P-EMMA,focus_support,V1,instrumental,54,low,piano,major,180,none
P-EMMA__focus_support__V2,P-EMMA,focus_support,V2,instrumental,82,medium,percussion,major,180,none
P-EMMA__focus_support__V3,P-EMMA,focus_support,V3,nature,64,low,mixed,atonal,180,none
P-EMMA__engagement_support__V1,P-EMMA,engagement_support,V1,instrumental,54,low,piano,major,180,none
P-EMMA__engagement_support__V2,P-EMMA,engagement_support,V2,instrumental,82,medium,percussion,major,180,none
P-EMMA__engagement_support__V3,P-EMMA,engagement_support,V3,nature,64,low,mixed,atonal,180,none
P-EMMA__regulation_support__V1,P-EMMA,regulation_support,V1,instrumental,54,low,piano,major,180,none
P-EMMA__regulation_support__V2,P-EMMA,regulation_support,V2,instrumental,82,medium,percussion,major,180,none
P-EMMA__regulation_support__V3,P-EMMA,regulation_support,V3,nature,64,low,mixed,atonal,180,none
P-RYAN__sleep_support__V1,P-RYAN,sleep_support,V1,instrumental,54,low,piano,major,180,none
P-RYAN__sleep_support__V2,P-RYAN,sleep_support,V2,instrumental,82,medium,percussion,major,180,none
P-RYAN__sleep_support__V3,P-RYAN,sleep_support,V3,nature,64,low,mixed,atonal,180,none
P-RYAN__anxiety_support__V1,P-RYAN,anxiety_support,V1,instrumental,54,low,piano,major,180,none
P-RYAN__anxiety_support__V2,P-RYAN,anxiety_support,V2,instrumental,82,medium,percussion,major,180,none
P-RYAN__anxiety_support__V3,P-RYAN,anxiety_support,V3,nature,64,low,mixed,atonal,180,none
P-RYAN__focus_support__V1,P-RYAN,focus_support,V1,instrumental,54,low,piano,major,180,none
P-RYAN__focus_support__V2,P-RYAN,focus_support,V2,instrumental,82,medium,percussion,major,180,none
P-RYAN__focus_support__V3,P-RYAN,focus_support,V3,nature,64,low,mixed,atonal,180,none
P-RYAN__engagement_support__V1,P-RYAN,engagement_support,V1,instrumental,54,low,piano,major,180,none
P-RYAN__engagement_support__V2,P-RYAN,engagement_support,V2,instrumental,82,medium,percussion,major,180,none
P-RYAN__engagement_support__V3,P-RYAN,engagement_support,V3,nature,64,low,mixed,atonal,180,none
P-RYAN__regulation_support__V1,P-RYAN,regulation_support,V1,instrumental,54,low,piano,major,180,none
P-RYAN__regulation_support__V2,P-RYAN,regulation_support,V2,instrumental,82,medium,percussion,major,180,none
P-RYAN__regulation_support__V3,P-RYAN,regulation_support,V3,nature,64,low,mixed,atonal,180,none
P-ZOE__sleep_support__V1,P-ZOE,sleep_support,V1,instrumental,54,low,piano,major,180,none
P-ZOE__sleep_support__V2,P-ZOE,sleep_support,V2,instrumental,82,medium,percussion,major,180,none
P-ZOE__sleep_support__V3,P-ZOE,sleep_support,V3,nature,64,low,mixed,atonal,180,none
P-ZOE__anxiety_support__V1,P-ZOE,anxiety_support,V1,instrumental,54,low,piano,major,180,none
P-ZOE__anxiety_support__V2,P-ZOE,anxiety_support,V2,instrumental,82,medium,percussion,major,180,none
P-ZOE__anxiety_support__V3,P-ZOE,anxiety_support,V3,nature,64,low,mixed,atonal,180,none
